epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,143.313,0.84982,2.2972,1.60437,1.11957,0.66275,0.61667,0.75417,0.47176,0.65061,0.6,0.66465,0.44699,1.59645,2.64983,1.63317,1.36996,2.35417e-05,2.35417e-05,2.35417e-05
29,148.009,1.07319,2.16685,1.72492,1.26778,0.69424,0.61667,0.70057,0.45651,0.67797,0.6,0.61235,0.43105,1.58738,2.66644,1.66398,1.36442,2.40837e-05,2.40837e-05,2.40837e-05
30,155.099,0.79821,2.20949,1.24879,1.09434,0.69424,0.61667,0.70057,0.45651,0.67797,0.6,0.61235,0.43105,1.58738,2.66644,1.66398,1.36442,2.46022e-05,2.46022e-05,2.46022e-05
31,159.627,0.66552,2.09101,1.24716,1.08207,0.91263,0.39194,0.69472,0.44864,0.85463,0.38914,0.63322,0.45147,1.56433,2.66647,1.7292,1.35271,2.50971e-05,2.50971e-05,2.50971e-05
32,164.222,0.93057,2.33635,1.26686,1.13263,0.91263,0.39194,0.69472,0.44864,0.85463,0.38914,0.63322,0.45147,1.56433,2.66647,1.7292,1.35271,2.55685e-05,2.55685e-05,2.55685e-05
33,168.608,0.76528,2.2372,1.47858,1.16209,0.91246,0.38218,0.64551,0.42067,0.8138,0.38749,0.58263,0.41832,1.57672,2.66629,1.79095,1.3583,2.60163e-05,2.60163e-05,2.60163e-05
34,172.885,0.88736,2.57631,1.27929,1.25614,0.91246,0.38218,0.64551,0.42067,0.8138,0.38749,0.58263,0.41832,1.57672,2.66629,1.79095,1.3583,2.64405e-05,2.64405e-05,2.64405e-05
35,177.357,0.86215,1.93181,1.46361,1.16452,0.91459,0.38099,0.63276,0.41495,0.81081,0.38684,0.56976,0.40593,1.58606,2.66682,1.8186,1.35878,2.68412e-05,2.68412e-05,2.68412e-05
36,181.383,0.70064,1.91673,1.15014,1.07451,0.91459,0.38099,0.63276,0.41495,0.81081,0.38684,0.56976,0.40593,1.58606,2.66682,1.8186,1.35878,2.72183e-05,2.72183e-05,2.72183e-05
37,185.331,0.79259,2.22322,1.26357,1.17398,0.91604,0.37946,0.54903,0.33684,0.80633,0.38789,0.48406,0.32889,1.59786,2.68269,1.85633,1.36662,2.75718e-05,2.75718e-05,2.75718e-05
38,189.227,0.84128,2.09161,1.36934,1.16272,0.91604,0.37946,0.54903,0.33684,0.80633,0.38789,0.48406,0.32889,1.59786,2.68269,1.85633,1.36662,2.79018e-05,2.79018e-05,2.79018e-05
39,193.079,0.87794,2.29797,1.83478,1.21146,0.91957,0.37945,0.51869,0.31016,0.81714,0.38754,0.45211,0.30073,1.60197,2.68567,1.87862,1.36606,2.82082e-05,2.82082e-05,2.82082e-05
40,197.282,0.96034,2.37814,1.45383,1.39629,0.91957,0.37945,0.51869,0.31016,0.81714,0.38754,0.45211,0.30073,1.60197,2.68567,1.87862,1.36606,2.84911e-05,2.84911e-05,2.84911e-05
41,201.235,0.67647,1.78915,1.33067,1.03953,0.9329,0.37403,0.50833,0.30422,0.8231,0.41335,0.43845,0.27776,1.61788,2.69526,1.93355,1.3702,2.87504e-05,2.87504e-05,2.87504e-05
42,205.426,0.74474,1.81749,0.99988,1.07306,0.9329,0.37403,0.50833,0.30422,0.8231,0.41335,0.43845,0.27776,1.61788,2.69526,1.93355,1.3702,2.89861e-05,2.89861e-05,2.89861e-05
43,209.837,0.53333,1.70156,1.90223,1.08673,0.93482,0.37752,0.48748,0.29955,0.81986,0.41268,0.42533,0.26892,1.63614,2.70097,2.00363,1.38258,2.91983e-05,2.91983e-05,2.91983e-05
